Site_ID,EPFU_Occurance,Visual_Score,Date_Netted,Net_Species_Richness,Acoustic_Species_Richness
35A,0,1,5_8_2021,2,8
75A,1,1,28_7_2021,1,8
12A,0,1,21_7_2021,1,6
43M,0,1,1_6_2021,1,5
91A,0,1,24_5_2021,3,6
120A,0,1,18_5_2021,2,2
5A,0,1,17_5_2021,4,8
13A,0,1,23_6_2021,1,6
10A,1,1,21_7_2021,3,5
48A,0,1,3_8_2021,1,0
3M,0,2,24_6_2021,4,3
33A,1,2,4_8_2021,3,8
53A,0,2,20_5_2021,4,8
62A,0,2,19_5_2021,3,8
79M,1,2,14_7_2021,4,6
22A,0,2,19_7_2021,2,8
73A,0,2,14_6_2021,1,10
50A,0,3,26_7_2021,3,5
74A,0,3,27_7_2021,2,9
71A,1,3,13_7_2021,1,8
106A,0,3,26_5_2021,2,5
63A,0,3,16_6_2021,3,4
